mode,requested_comments,n_comments,n_nodes,n_edges,n_canopies,n_clusters,fetch_sec,parse_sec,feature_prep_sec,preprocess_tfidf_sec,tfidf_sec,reduce_sec,ann_index_sec,ann_query_sec,ann_prefilter_sec,canopy_threshold_grid_sec,canopy_bruteforce_sec,canopy_assign_sec,canopy_cluster_sec,canopy_sec,build_sec,cluster_sec,score_sec,total_sec,total_with_fetch_sec,modularity,conductance_mean,silhouette_score,silhouette_samples,silhouette_clusters,canopy_t1,canopy_t2,canopy_threshold_silhouette,canopy_threshold_candidates,avg_degree,density,num_components,num_suspicious_clusters,num_suspicious_users,suspicious_cluster_ratio,suspicious_user_ratio,avg_cluster_density,avg_content_repetition,avg_temporal_burst,avg_high_frequency,avg_account_age_ratio,account_age_coverage,intra_canopy_edge_ratio,mean_suspicious_score,max_suspicious_score,quality_interpretation
pipeline,100,100,95,873,91,48,36.21603989996947,0.004143199999816716,0.31286920001730323,0.31701240001711994,0.0829278000164777,0.22994140000082552,0.0,0.0,0.0,0.1716277999803424,0.004476499976590276,0.00033109996002167463,0.00480759993661195,0.49116490001324564,0.07608449994586408,0.015824100002646446,0.05331059999298304,0.6405272999545559,36.85656719992403,0.1631298038103901,0.5235150628604632,0.025061986394125796,93.0,48.0,0.6,0.8,0.03225806451612903,36,18.378947368421052,0.19552071668533036,2.0,1.0,6.0,0.020833333333333332,0.06315789473684211,0.016433422863503532,0.0037894034232167618,0.04112079451571617,0.00048449612403100775,,0.0,0.06899282907106136,0.47621747924412844,0.4850408243497702,Terbentuk sekitar 48 cluster; struktur komunitas sedang; pemisahan cluster masih lemah; isolasi cluster sedang.
pipeline,100,100,95,873,91,48,36.21603989996947,0.002904399996623397,0.3167466999730095,0.3196510999696329,0.04036440001800656,0.27638229995500296,0.0,0.0,0.0,0.17943919997196645,0.00291750009637326,0.0003185998648405075,0.0032360999612137675,0.5016337999841198,0.0814445000141859,0.013988699996843934,0.051359100034460425,0.6513305000262335,36.86737039999571,0.1631298038103901,0.5235150628604632,0.025061986394125796,93.0,48.0,0.6,0.8,0.03225806451612903,36,18.378947368421052,0.19552071668533036,2.0,1.0,6.0,0.020833333333333332,0.06315789473684211,0.016433422863503532,0.0037894034232167618,0.04112079451571617,0.00048449612403100775,,0.0,0.06899282907106136,0.47621747924412844,0.4850408243497702,Terbentuk sekitar 48 cluster; struktur komunitas sedang; pemisahan cluster masih lemah; isolasi cluster sedang.
canopy_only,100,100,95,0,91,91,36.21603989996947,0.0035794000141322613,0.2057498999638483,0.20932929997798055,0.0400042999535799,0.1657456000102684,0.0,0.0,0.0,0.1613910999149084,0.0028879998717457056,0.00033760012593120337,0.003225599997676909,0.37727399996947497,0.0,0.0,0.0,0.38085339998360723,36.59689329995308,,,0.03225806451612903,93.0,91.0,0.6,0.8,0.03225806451612903,36,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 91 cluster; pemisahan cluster masih lemah.
canopy_only,100,100,95,0,91,91,36.21603989996947,0.004229500074870884,0.26472239999566227,0.26895190007053316,0.03846539999358356,0.2262570000020787,0.0,0.0,0.0,0.14701399998739362,0.0029033005703240633,0.00031640008091926575,0.003219700651243329,0.4167676999932155,0.0,0.0,0.0,0.4209972000680864,36.63703710003756,,,0.03225806451612903,93.0,91.0,0.6,0.8,0.03225806451612903,36,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 91 cluster; pemisahan cluster masih lemah.
kruskal_only,100,100,95,871,91,48,36.21603989996947,0.003043100005015731,0.27089300006628036,0.2739361000712961,0.044976400095038116,0.22591659997124225,0.0,0.0,0.0,0.15852600010111928,0.0035609001060947776,0.0003239000216126442,0.0038848001277074218,0.43511160009074956,0.06259560002945364,0.013465599971823394,0.05163070000708103,0.5658466001041234,36.7818865000736,0.17271012825476711,0.764756212726444,0.0310420154973173,93.0,46.0,0.6,0.8,0.03225806451612903,36,18.33684210526316,0.19507278835386338,2.0,1.0,2.0,0.020833333333333332,0.021052631578947368,0.053130747956842195,0.008169264360895436,0.10357939424436878,0.020833333333333332,,0.0,,0.5088174268198343,0.5288174268198343,Terbentuk sekitar 48 cluster; struktur komunitas sedang; pemisahan cluster masih lemah; isolasi cluster lemah.
kruskal_only,100,100,95,871,91,48,36.21603989996947,0.0027042999863624573,0.22413770004641265,0.2268420000327751,0.03902310004923493,0.18511459999717772,0.0,0.0,0.0,0.1461311000166461,0.002942700288258493,0.00044649920891970396,0.003389199497178197,0.3754929000278935,0.059616000042296946,0.013163399999029934,0.04938460001721978,0.5003612000728026,36.716401100042276,0.17271012825476711,0.764756212726444,0.0310420154973173,93.0,46.0,0.6,0.8,0.03225806451612903,36,18.33684210526316,0.19507278835386338,2.0,1.0,2.0,0.020833333333333332,0.021052631578947368,0.053130747956842195,0.008169264360895436,0.10357939424436878,0.020833333333333332,,0.0,,0.5088174268198343,0.5288174268198343,Terbentuk sekitar 48 cluster; struktur komunitas sedang; pemisahan cluster masih lemah; isolasi cluster lemah.
pipeline,200,200,190,2145,170,95,96.89683709992096,0.009252900024875998,0.9511968001024798,0.9604497001273558,0.08417630009353161,0.8670205000089481,0.0,0.0,0.0,0.9089406999992207,0.01218310056719929,0.0007961002411320806,0.01297920080833137,1.8763264000881463,0.1463878999929875,0.040456000017002225,0.11686960002407432,2.1892928001470864,99.08612990006804,0.04480342099219785,0.8183535326297067,0.038478828821291985,188.0,93.0,0.6,0.8,0.11148919967626457,36,22.57894736842105,0.11946532999164577,1.0,1.0,2.0,0.010526315789473684,0.010526315789473684,0.013859895001794319,0.004294877950164907,0.02103576502037195,0.00011198208286674131,,0.0,0.46209597726543616,0.45824306627639344,0.45824306627639344,Terbentuk sekitar 95 cluster; struktur komunitas lemah; pemisahan cluster masih lemah; isolasi cluster lemah.
pipeline,200,200,190,2145,170,95,96.89683709992096,0.006261500064283609,0.875665600062348,0.8819271001266316,0.07598370010964572,0.7996818999527022,0.0,0.0,0.0,0.8906592999119312,0.010359200183302164,0.0006106998771429062,0.01096990006044507,1.7792141999816522,0.12129229994025081,0.03233930002897978,0.12354289996437728,2.0626501999795437,98.9594872999005,0.04480342099219785,0.8183535326297067,0.038478828821291985,188.0,93.0,0.6,0.8,0.11148919967626457,36,22.57894736842105,0.11946532999164577,1.0,1.0,2.0,0.010526315789473684,0.010526315789473684,0.013859895001794319,0.004294877950164907,0.02103576502037195,0.00011198208286674131,,0.0,0.46209597726543616,0.45824306627639344,0.45824306627639344,Terbentuk sekitar 95 cluster; struktur komunitas lemah; pemisahan cluster masih lemah; isolasi cluster lemah.
canopy_only,200,200,190,0,170,170,96.89683709992096,0.0050354000413790345,0.701830199919641,0.70686559996102,0.06722219998482615,0.6346079999348149,0.0,0.0,0.0,0.6559342999244109,0.010482900426723063,0.0006108989473432302,0.011093799374066293,1.371413099928759,0.0,0.0,0.0,1.376448499970138,98.2732855998911,,,0.10759018645328719,188.0,169.0,0.6,0.8,0.11148919967626457,36,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 170 cluster; pemisahan cluster masih lemah.
canopy_only,200,200,190,0,170,170,96.89683709992096,0.005164699978195131,0.8135377999860793,0.8187024999642745,0.06333299994003028,0.7502048000460491,0.0,0.0,0.0,0.8972120999824256,0.012555100372992456,0.0010280999122187495,0.013583200285211205,1.7271136000053957,0.0,0.0,0.0,1.7322782999835908,98.62911539990455,,,0.10759018645328719,188.0,169.0,0.6,0.8,0.11148919967626457,36,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,Terbentuk sekitar 170 cluster; pemisahan cluster masih lemah.
