id,label,canopy,comment_count,reply_count,mention_count,thread_count,total_likes,avg_likes,first_timestamp,last_timestamp,threads,text_sample
123192684759916544,lareinecoeur,canopy_013,1,0,0,0,16,16.0,1774237852,1774237852,[],"Yes more please
☄️ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ☄️ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀☄️ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀︎ ︎ ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀☄️ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ᅠ⠀ ⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ᅠ⠀︎ ︎⠀ ⠀ ⠀ ⠀ ⠀︎⠀ ⠀ ⠀ᅠ⠀ᅠ⠀ ⠀ "
132905031397322752,alessio2926,canopy_117,2,0,0,0,20,10.0,1774230909,1774230920,[],Alessio [Sticker] Alessio
179836966824349696,missh0ney,canopy_340,1,0,0,0,6,6.0,1775070831,1775070831,[],Praying for Palestine ganjaprinc3sss
277636453445046272,tetlock80,canopy_000,1,0,0,0,15,15.0,1774217514,1774217514,[],🇨🇦
6532054466269560834,jj00501,canopy_280,1,0,0,0,252,252.0,1774309633,1774309633,[],Fuck Israel 🇵🇸🇵🇸🇵🇸 Fp2024
6545407023667429377,ardy_ytc,canopy_240,1,0,0,0,4,4.0,1774333781,1774333781,[],[Sticker] Ardy YTC
6555661839655976965,kamillucas8,canopy_367,1,0,0,0,0,0.0,1775527534,1775527534,[],Kamil Lucas
6557891870416224258,meyomeo94,canopy_009,1,0,0,0,7174,7174.0,1774222334,1774222334,[],Meyo Meor
6559204966497206278,kuchupapaa,canopy_331,1,0,0,0,3,3.0,1774234961,1774234961,[],AI edits Kuchu Papaa
6560777333711519745,azman5517,canopy_013,1,0,0,0,9,9.0,1774227258,1774227258,[],[Sticker] 🇦 🇿 🇲 🇦 🇳
